atanhf16_glibc  ,atanhf16_glibc  ,_tput ,1  ,100000000 ,1.018
atanhf8_glibc   ,atanhf8_glibc   ,_tput ,1  ,100000000 ,0.965
atanhf4_glibc   ,atanhf4_glibc   ,_tput ,1  ,100000000 ,0.996
atanhf16_glibc  ,ALU__m512       ,_tput ,1  ,100000000 ,1.005
atanhf8_glibc   ,ALU__m256       ,_tput ,1  ,100000000 ,1.017
atanhf4_glibc   ,ALU__m128       ,_tput ,1  ,100000000 ,0.991
atanhf16_glibc  ,P5__m512        ,_tput ,1  ,100000000 ,0.932
atanhf8_glibc   ,P5__m256        ,_tput ,1  ,100000000 ,0.965
atanhf4_glibc   ,P5__m128        ,_tput ,1  ,100000000 ,0.989
atanhf16_glibc  ,FLOP__m512      ,_tput ,1  ,100000000 ,1.001
atanhf8_glibc   ,FLOP__m256      ,_tput ,1  ,100000000 ,0.962
atanhf4_glibc   ,FLOP__m128      ,_tput ,1  ,100000000 ,0.988
atanhf16_glibc  ,TRANS__m512     ,_tput ,1  ,100000000 ,1.001
atanhf8_glibc   ,TRANS__m256     ,_tput ,1  ,100000000 ,0.963
atanhf4_glibc   ,TRANS__m128     ,_tput ,1  ,100000000 ,0.988
atanhf16_glibc  ,atanhf16_glibc  ,_lat  ,1  ,10000000  ,0.943
atanhf8_glibc   ,atanhf8_glibc   ,_lat  ,1  ,10000000  ,0.958
atanhf4_glibc   ,atanhf4_glibc   ,_lat  ,1  ,10000000  ,0.988
atanhf16_glibc  ,ALU__m512       ,_lat  ,1  ,10000000  ,0.932
atanhf8_glibc   ,ALU__m256       ,_lat  ,1  ,10000000  ,1.156
atanhf4_glibc   ,ALU__m128       ,_lat  ,1  ,10000000  ,0.976
atanhf16_glibc  ,P5__m512        ,_lat  ,1  ,10000000  ,0.941
atanhf8_glibc   ,P5__m256        ,_lat  ,1  ,10000000  ,0.949
atanhf4_glibc   ,P5__m128        ,_lat  ,1  ,10000000  ,0.989
atanhf16_glibc  ,FLOP__m512      ,_lat  ,1  ,10000000  ,0.926
atanhf8_glibc   ,FLOP__m256      ,_lat  ,1  ,10000000  ,0.950
atanhf4_glibc   ,FLOP__m128      ,_lat  ,1  ,10000000  ,0.990
atanhf16_glibc  ,TRANS__m512     ,_lat  ,1  ,10000000  ,0.930
atanhf8_glibc   ,TRANS__m256     ,_lat  ,1  ,10000000  ,0.949
atanhf4_glibc   ,TRANS__m128     ,_lat  ,1  ,10000000  ,1.036
atanhf16_glibc  ,atanhf16_glibc  ,_tput ,2  ,100000000 ,0.989
atanhf8_glibc   ,atanhf8_glibc   ,_tput ,2  ,100000000 ,0.942
atanhf4_glibc   ,atanhf4_glibc   ,_tput ,2  ,100000000 ,0.993
atanhf16_glibc  ,ALU__m512       ,_tput ,2  ,100000000 ,0.932
atanhf8_glibc   ,ALU__m256       ,_tput ,2  ,100000000 ,0.914
atanhf4_glibc   ,ALU__m128       ,_tput ,2  ,100000000 ,0.943
atanhf16_glibc  ,P5__m512        ,_tput ,2  ,100000000 ,0.876
atanhf8_glibc   ,P5__m256        ,_tput ,2  ,100000000 ,0.907
atanhf4_glibc   ,P5__m128        ,_tput ,2  ,100000000 ,0.975
atanhf16_glibc  ,FLOP__m512      ,_tput ,2  ,100000000 ,0.942
atanhf8_glibc   ,FLOP__m256      ,_tput ,2  ,100000000 ,0.910
atanhf4_glibc   ,FLOP__m128      ,_tput ,2  ,100000000 ,0.943
atanhf16_glibc  ,TRANS__m512     ,_tput ,2  ,100000000 ,0.927
atanhf8_glibc   ,TRANS__m256     ,_tput ,2  ,100000000 ,0.926
atanhf4_glibc   ,TRANS__m128     ,_tput ,2  ,100000000 ,0.966
atanhf16_glibc  ,atanhf16_glibc  ,_lat  ,2  ,10000000  ,0.971
atanhf8_glibc   ,atanhf8_glibc   ,_lat  ,2  ,10000000  ,0.944
atanhf4_glibc   ,atanhf4_glibc   ,_lat  ,2  ,10000000  ,0.984
atanhf16_glibc  ,ALU__m512       ,_lat  ,2  ,10000000  ,0.930
atanhf8_glibc   ,ALU__m256       ,_lat  ,2  ,10000000  ,0.947
atanhf4_glibc   ,ALU__m128       ,_lat  ,2  ,10000000  ,0.989
atanhf16_glibc  ,P5__m512        ,_lat  ,2  ,10000000  ,0.939
atanhf8_glibc   ,P5__m256        ,_lat  ,2  ,10000000  ,0.947
atanhf4_glibc   ,P5__m128        ,_lat  ,2  ,10000000  ,0.992
atanhf16_glibc  ,FLOP__m512      ,_lat  ,2  ,10000000  ,0.944
